分頁A：各週期統計
週期,筆數,平均總價(萬),中位總價(萬),平均單價(萬/坪)
2026-01-13_01-19,72,1733,1392,39.72
2026-01-20_01-26,62,1880,1600,40.19
2026-01-27_02-02,51,1360,1280,37.97
2026-02-03_02-09,59,2091,1680,42.45
2026-02-10_02-16,38,1846,1442,43.17
2026-02-24_03-02,38,1465,1152,37.28
2026-03-10_03-16,63,1970,1480,41.12
2026-05-26_06-01,84,1966,1846,41.12
2026-06-02_06-08,61,1669,1350,39.93

分頁B：各行政區統計（全期）
行政區,筆數,平均單價(萬/坪),中位單價(萬/坪),最低,最高
竹北市,150,52.17,52.16,21.47,85.42
東區,114,45.81,42.96,-0.93,83.52
北區,85,35.96,32.8,14.61,64.38
竹東鎮,65,28.53,28.38,8.92,48.08
香山區,37,32.92,31.58,13.87,82.11
湖口鄉,34,25.18,25.5,14.0,34.32
新豐鄉,16,28.34,28.88,11.26,41.94
寶山鄉,11,34.39,36.47,17.02,52.35
新埔鎮,6,36.36,40.23,18.22,43.39
芎林鄉,6,34.83,38.43,14.9,50.06
橫山鄉,1,14.29,14.29,14.29,14.29
新竹市,1,0.0,0.0,0.0,0.0
頭份市,1,0.0,0.0,0.0,0.0
關西鎮,1,24.95,24.95,24.95,24.95
